id,sex,age,bronze,silver,gold,platinum,paid,employed,number_people,income,married,tobacco,city,state,lat,lng
1,0,21,31.15,60.65,101.15,156.4,31.15,1,3,100000,1,1,Sanders,Arizona,35.21512,-109.33294
1001,0,22,28.15,57.65,98.15,153.4,57.65,1,3,200000,1,1,Santa Barbara,California,34.41938,-119.69905
2001,0,22,25.65,50.15,85.65,133.4,133.4,0,1,200000,1,1,Douglas City,California,40.65076,-122.93988
3001,0,18,26.15,53.65,91.15,142.4,91.15,1,3,100000,1,1,Sacramento,California,38.57933,-121.4909
4001,0,21,24.5,51.5,89.5,141.0,51.5,1,2,100000,1,1,Karlstad,Minnesota,48.57774,-96.52121
5001,0,19,26.65,49.15,81.65,125.4,81.65,1,1,300000,0,1,Cedar Rapids,Iowa,41.97634,-91.67376
6001,0,23,31.15,60.65,101.15,156.4,101.15,0,3,300000,1,1,Hitchcock,South Dakota,44.6329,-98.40944
7001,0,22,31.15,60.65,101.15,156.4,101.15,1,3,300000,0,1,Shenandoah,Iowa,40.76593,-95.37561
8001,0,19,26.65,49.15,81.65,125.4,81.65,1,1,100000,1,1,Moffit,North Dakota,46.67932,-100.29763
9001,0,23,29.9,56.9,94.9,146.4,29.9,1,2,300000,0,1,Helena,Montana,46.58976,-112.0212
10002,1,21,26.65,49.15,81.65,125.4,49.15,1,1,100000,1,1,Fort Collins,Colorado,40.58147,-105.07626
11002,1,24,29.9,56.9,94.9,146.4,94.9,1,2,700000,1,1,Milwaukee,Wisconsin,43.042,-87.90687
12002,1,23,26.9,53.9,91.9,143.4,143.4,0,2,100000,0,1,Sacramento,California,38.57933,-121.4909
13002,1,21,25.65,50.15,85.65,133.4,85.65,1,1,400000,0,1,Sacramento,California,38.57933,-121.4909
14002,1,24,28.65,53.15,88.65,136.4,88.65,1,1,100000,1,1,Clarion,Iowa,42.73116,-93.7354
15002,1,19,23.65,46.15,78.65,122.4,46.15,1,1,700000,0,1,Los Angeles,California,34.05349,-118.24532
16002,1,20,29.15,56.65,94.15,145.4,56.65,1,3,100000,1,1,Angela,Montana,46.72979,-106.20227
17002,1,21,25.65,50.15,85.65,133.4,50.15,1,1,100000,1,1,Kaaawa,Hawaii,21.55658,-157.85392
18002,1,24,32.4,64.4,107.4,166.4,64.4,1,4,500000,1,1,Donnelly,Idaho,44.73146,-116.07834
19002,1,20,27.4,57.4,97.4,152.4,97.4,1,4,300000,1,1,Minneapolis,Minnesota,44.97902,-93.26494
20003,0,19,22.5,47.5,82.5,130.0,82.5,1,2,100000,1,1,Salem,Oregon,44.93326,-123.04381
21003,0,25,28.65,53.15,88.65,136.4,28.65,1,1,200000,0,1,Phoenix,Arizona,33.44825,-112.0758
22003,0,22,29.9,56.9,94.9,146.4,146.4,1,2,100000,1,1,Juneau,Alaska,58.29973,-134.40679
23003,0,23,31.15,60.65,101.15,156.4,156.4,1,3,700000,0,1,Frontenac,Minnesota,44.52676,-92.33006
24003,0,20,26.65,49.15,81.65,125.4,81.65,1,1,300000,0,1,Nampa,Idaho,43.58263,-116.56962
25003,0,18,23.65,46.15,78.65,122.4,46.15,1,1,300000,0,1,Visalia,California,36.33377,-119.29291
26003,0,22,32.4,64.4,107.4,166.4,107.4,1,4,500000,0,1,Culdesac,Idaho,46.37275,-116.66917
27003,0,22,31.15,60.65,101.15,156.4,101.15,1,3,100000,1,1,Dubuque,Iowa,42.49913,-90.66327
28003,0,20,26.65,49.15,81.65,125.4,81.65,1,1,1000000,1,1,Mason City,Iowa,43.14667,-93.20109
29003,0,20,27.9,52.9,87.9,135.4,52.9,1,2,100000,0,1,Tower City,North Dakota,46.92005,-97.67699
30004,1,22,29.4,61.4,104.4,163.4,29.4,1,4,300000,1,1,Reardan,Washington,47.66951,-117.87715
31004,1,22,25.65,50.15,85.65,133.4,50.15,1,1,100000,1,1,Tacoma,Washington,47.25513,-122.44164
32004,1,21,27.5,54.5,92.5,144.0,54.5,0,2,200000,1,1,El Paso,Texas,31.75916,-106.48749
33004,1,22,25.65,50.15,85.65,133.4,50.15,1,1,100000,0,1,San Francisco,California,37.77712,-122.41964
34004,1,21,31.15,60.65,101.15,156.4,156.4,1,3,100000,0,1,Otter,Montana,45.21389,-106.27703
35004,1,23,25.65,50.15,85.65,133.4,85.65,1,1,300000,0,1,Ventura,California,34.28082,-119.29232
36005,0,21,25.65,50.15,85.65,133.4,85.65,1,1,100000,1,1,San Francisco,California,37.77712,-122.41964
37005,0,23,25.65,50.15,85.65,133.4,133.4,1,1,100000,0,1,Tacoma,Washington,47.25513,-122.44164
38005,0,18,26.15,53.65,91.15,142.4,142.4,1,3,200000,1,1,San Diego,California,32.71568,-117.16171
39005,0,18,24.9,49.9,84.9,132.4,84.9,1,2,300000,0,1,Fargo,North Dakota,46.87591,-96.78176
40006,1,21,24.9,49.9,84.9,132.4,24.9,1,2,200000,1,1,Seattle,Washington,47.60357,-122.32945
41007,0,19,26.15,53.65,91.15,142.4,26.15,1,3,100000,0,1,Karlstad,Minnesota,48.57774,-96.52121
42007,0,21,28.65,53.15,88.65,136.4,53.15,1,1,100000,1,1,Scranton,North Dakota,46.14744,-103.14336
43007,0,22,28.65,53.15,88.65,136.4,136.4,1,1,100000,1,1,Vernal,Utah,40.45572,-109.52884
44007,0,22,25.65,50.15,85.65,133.4,25.65,1,1,500000,0,1,Cimarron,Colorado,38.44222,-107.55641
45007,0,22,31.15,60.65,101.15,156.4,31.15,1,3,200000,1,1,Ree Heights,South Dakota,44.51627,-99.20043
46007,0,23,23.25,47.75,83.25,131.0,47.75,1,1,500000,0,1,Bakersfield,California,35.36723,-119.01886
47007,0,21,23.65,46.15,78.65,122.4,78.65,1,1,100000,0,1,Mazeppa,Minnesota,44.27081,-92.54516
48008,1,23,28.65,53.15,88.65,136.4,53.15,1,1,100000,0,1,Nampa,Idaho,43.58263,-116.56962
49008,1,25,28.65,53.15,88.65,136.4,28.65,1,1,200000,1,1,Frazer,Montana,48.06222,-106.04273
50009,0,24,28.15,57.65,98.15,153.4,57.65,1,3,200000,1,1,Homelake,Colorado,37.55559,-106.04104
51009,0,18,26.65,49.15,81.65,125.4,49.15,1,1,500000,0,1,Rexburg,Idaho,43.82607,-111.78309
52009,0,24,28.15,57.65,98.15,153.4,57.65,1,3,400000,0,1,Stockton,California,37.95367,-121.29075
53009,0,24,28.65,53.15,88.65,136.4,88.65,1,1,400000,1,1,Des Moines,Iowa,41.58976,-93.61565
54009,0,19,27.4,57.4,97.4,152.4,27.4,0,4,300000,1,1,Denver,Colorado,39.74001,-104.99202
55009,0,24,28.15,57.65,98.15,153.4,98.15,1,3,100000,1,1,Askov,Minnesota,46.18819,-92.78246
56009,0,25,29.9,56.9,94.9,146.4,56.9,1,2,300000,0,1,Clinton,Iowa,41.83898,-90.19196
57009,0,22,28.65,53.15,88.65,136.4,28.65,1,1,100000,1,1,Globe,Arizona,33.39576,-110.78912
58009,0,19,29.15,56.65,94.15,145.4,94.15,1,3,200000,1,1,Davenport,Iowa,41.53826,-90.57602
59009,0,19,29.15,56.65,94.15,145.4,94.15,1,3,700000,0,1,Madison,Wisconsin,43.07295,-89.38669
